time,age,sex,education,relevant_ed,location,remoteness,company_type,experience,contract,salary,contentment,happiness,languages,position,other_tech,sci_fi
2016.09.09. 10:44:23,20-25,Férfi,Egyetem,Igen,Budapest,Bejárós,Startup,2,Szabadúszó,"400 000,00 Ft",3,3,Java,java fejlesztő,php,He?
2016.09.09. 10:44:48,25-30,Férfi,Főiskola,Igen,Vidék,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"300 046,00 Ft",4,3,"PHP, Javascript",Frontend fejlesztő és grafikus,"CSS, SASS, Angular, jQuery, MySQL, Git, svn",Star Wars
2016.09.09. 10:45:13,20-25,Férfi,Szakiskola,Igen,Budapest,Mindkettő,Nemzetközi cég,8,Teljes munkaidős - állandó,"215 000,00 Ft",3,3,"PHP, Javascript, C#, C++, Delphi, VBA",Porgramozó,"smarty,drupal,workpress,joomla",Star Wars
2016.09.09. 10:46:12,15-20,Férfi,Szakközépiskola,Nem,Vidék,Bejárós,Kis- és középvállalkozás,2,Teljes munkaidős - állandó,"185 000,00 Ft",4,4,"PHP, Javascript, C#, Lua",Webdev,,Star Wars
2016.09.09. 10:47:52,25-30,Férfi,Általános iskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,7,Teljes munkaidős - állandó,"450 000,00 Ft",5,4,"PHP, Javascript",Full-stack developer,"stylus, sass, angular, debian, laravel, react, redux, docker, mongodb,",Star Wars
2016.09.09. 10:49:13,15-20,Férfi,Általános iskola,Nem,Külföld,Bejárós,Startup,5,Teljes munkaidős - állandó,"900 000,00 Ft",3,5,"PHP, Javascript, Java",Full-stack fejlesztő,,Star Trek
2016.09.09. 10:49:17,20-25,Férfi,Egyetem,Igen,Vidék,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"210 000,00 Ft",3,3,"PHP, Javascript, Java",Backend fejlesztő,"Laravel, CodeIgniter, bower, npm, jquery",Star Wars
2016.09.09. 10:50:00,30-35,Férfi,Főiskola,Igen,Budapest,Távmunka,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"220 000,00 Ft",4,4,PHP,fejlesztő,,Star Wars
2016.09.09. 10:50:05,40+,Férfi,Szakközépiskola,Nem,Vidék,Távmunka,Kis- és középvállalkozás,7,Szabadúszó,"280 000,00 Ft",2,4,Javascript,web fejlesztő,"LESS, SASS",Star Trek
2016.09.09. 10:50:32,25-30,Férfi,Főiskola,Igen,Budapest,Mindkettő,Kisvállalkozás + EV,6,Teljes + EV,"340 000,00 Ft",4,4,"PHP, Javascript",Szoftverfejlesztő,"AngularJS 1.x, SASS, Less, Symfony, Bootstrap, CodeIgniter, jQuery, materializeCSS, zsh, bash, nginx, apache, stb",Star Wars
2016.09.09. 10:50:53,20-25,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,0,Teljes munkaidős - állandó,"160 000,00 Ft",4,3,"PHP, Javascript, html, css, jquery, sql",Webfejlesztő (front- és backend),,Star Trek
2016.09.09. 10:51:27,30-35,Férfi,Egyetem,Nem,Vidék,Mindkettő,Kis- és középvállalkozás,6,Teljes munkaidős - állandó,"200 000,00 Ft",2,3,Javascript,Frontend fejlesztő,SASS,He?
2016.09.09. 10:52:30,40+,Nő,Szakiskola,Igen,Budapest,Bejárós,Nemzetközi cég,0,Teljes munkaidős - állandó,"300 000,00 Ft",3,3,"PHP, Javascript, C#, Java",szoftverfejlesztő,,He?
2016.09.09. 10:52:50,30-35,Férfi,Szakközépiskola,Nem,Vidék,Bejárós,Állami szféra,3,Teljes munkaidős - állandó,"112 000,00 Ft",2,4,PHP,Rendszergazda és tech support,,Star Trek
2016.09.09. 10:53:25,25-30,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,2,Teljes munkaidős - állandó,"200 000,00 Ft",3,4,"PHP, Javascript",Junir backend,,Star Wars
2016.09.09. 10:53:36,25-30,Férfi,Szakközépiskola,Nem,Vidék,Mindkettő,Startup,8,Teljes munkaidős - állandó,"100 000,00 Ft",5,2,"PHP, Javascript, C#, Html, Css, Html5, Css3","Senior FrontEnd Developer, néha BackEnd","Angular, LESS, SASS, CodeIgniter, CakePhp, Jquery, BootsTrap,...",He?
2016.09.09. 10:53:39,20-25,Férfi,Szakközépiskola,Igen,Budapest,Távmunka,Startup,2,Szabadúszó,"100 000,00 Ft",1,1,"PHP, Javascript, Jquery, HTML, CSS és társai",Full stack developer,"Laravel, Mysql, PDO, AJAX, Google Maps API, Facebook API, Paypal gateway, Symphony, OOP,",He?
2016.09.09. 10:55:08,30-35,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,5,Szabadúszó,"200 000,00 Ft",3,3,"PHP, Javascript","Senior hálózat fejlesztő, karbantartó",,Star Wars
2016.09.09. 10:55:13,25-30,Férfi,Gimnázium,Nem,Budapest,Bejárós,Kis- és középvállalkozás,2,Részmunkaidő,"300 000,00 Ft",2,2,Javascript,front-end dev és ux,"angular, angular2, aws, ansible, docker, mongo, postgre, balsamiq",Star Wars
2016.09.09. 10:57:42,35-40,Férfi,Egyetem,Igen,Vidék,Bejárós,Állami szféra,16,Teljes munkaidős - állandó,"150 000,00 Ft",2,5,"Javascript, Java",Vezető fejlesztő,"React, Docker",He?
2016.09.09. 11:00:23,30-35,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,10,Teljes munkaidős - állandó,"350 000,00 Ft",3,3,"PHP, Javascript",fejlesztő,,He?
2016.09.09. 11:01:25,20-25,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Startup,5,Teljes munkaidős - állandó,"230 000,00 Ft",3,5,"PHP, Javascript, Swift",Front end fejlesztő,"Less, angular, codeigniter,",He?
2016.09.09. 11:03:59,25-30,Férfi,Főiskola,Igen,Vidék,Távmunka,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"230 000,00 Ft",3,4,"PHP, Javascript",Frontend fejlesztő,"Symfony 2, Magento 2, Wordpress, Less, Sass, Gulp, Grunt, Angular, Angular 2, Git",Star Wars
2016.09.09. 11:04:51,15-20,Férfi,Általános iskola,Igen,Vidék,Mindkettő,Kis- és középvállalkozás,3,Szabadúszó,"300 000,00 Ft",3,4,"PHP, Javascript",Frontend fejlesztő,"Laravel, Angular, LESS, SASS, Docker, AWS, Redis, Mongodb, nodejs",Star Wars
2016.09.09. 11:05:18,20-25,Férfi,Szakközépiskola,Igen,Vidék,Bejárós,Nemzetközi cég,1,Teljes munkaidős - állandó,"180 000,00 Ft",4,3,"PHP, Javascript",webfejlesztő,"codeigniter,sql,mysql",Star Wars
2016.09.09. 11:06:49,20-25,Nő,Főiskola,Igen,Vidék,Bejárós,Startup,0,Teljes munkaidős - állandó,"210 000,00 Ft",3,5,Javascript,Junior frontend fejlesztő,"Angular, JQuery, SASS, Bash, SQL, HTML5, CSS3",Star Wars
2016.09.09. 11:08:13,35-40,Férfi,Gimnázium,Igen,Budapest,Mindkettő,Kis- és középvállalkozás,7,Teljes munkaidős - állandó,"250 000,00 Ft",3,3,"PHP, Javascript, Python",Fejlesztő,"LESS,SASS,CSS,XML,Codeigniter,symfony,node.js,jquery,facebook api",Star Trek
2016.09.09. 11:09:10,20-25,Férfi,Gimnázium,Nem,Külföld,Mindkettő,Startup,6,Teljes munkaidős - állandó,"750 000,00 Ft",3,4,"PHP, Javascript, C++, Java, Python",CTO,"AWS, GCP",Star Wars
2016.09.09. 11:09:21,20-25,Férfi,Egyetem,Igen,Budapest,Bejárós,Startup,2,Teljes munkaidős - állandó,"310 000,00 Ft",3,5,"Javascript, Java",Frontend fejlesztő,"LESS, SASS, React, Angular, Redux, AWS, Bash, Git, Webpack, Grunt, Node",Star Wars
2016.09.09. 11:11:28,25-30,Férfi,Főiskola,Igen,Vidék,Bejárós,Kis- és középvállalkozás,2,Teljes munkaidős - állandó,"160 000,00 Ft",2,2,"PHP, Javascript",junio,Laravel,Star Wars
2016.09.09. 11:11:56,20-25,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"200 000,00 Ft",4,4,"PHP, Javascript",Szoftverfejlesztő,"WordPress, SASS",Star Trek
2016.09.09. 11:14:04,20-25,Férfi,Gimnázium,Nem,Külföld,Bejárós,Kis- és középvállalkozás,6,Teljes munkaidős - állandó,"947 042,00 Ft",3,5,"PHP, Javascript, Ruby, Python",Developer,"laravel, codeigniter, aws, redis, mysql, mssql, mongodb, coutchdb, cassandra, angular, vue, react, jquery, emberjs, rest api, phonegap, react native, cordova, docker, vagrant, bash, linux, microservices, lambda, less, sass",He?
2016.09.09. 11:15:33,20-25,Férfi,Főiskola,Nem,Külföld,Bejárós,Startup,1,Teljes munkaidős - állandó,"160 000,00 Ft",2,3,"PHP, Javascript",Full-stack developer,"laravel, symfony",He?
2016.09.09. 11:21:45,20-25,Férfi,Gimnázium,Nem,Budapest,Bejárós,Nemzetközi cég,2,Teljes munkaidős - állandó,"255 000,00 Ft",3,5,Javascript,Junior Software Engineer,"Laravel, Less, NPM, ES2015",Star Wars
2016.09.09. 11:24:13,40+,Férfi,Főiskola,Igen,Budapest,Távmunka,Startup,32,Szabadúszó,"420 000,00 Ft",3,4,"PHP, Javascript, C#, C++, Java, Microcontrollerek (AVR, ARDUINO)",vezető fejlesztő,"Laravel, Smarty, Grav, NoDB, PostgreSQL, Oracle",Star Wars
2016.09.09. 11:24:20,25-30,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Nemzetközi cég,2,Részmunkaidő,"157 000,00 Ft",3,4,"PHP, Java",Junior Software Developer,Spring,He?
2016.09.09. 11:25:02,30-35,Férfi,Gimnázium,Nem,Budapest,Bejárós,Nemzetközi cég,2,Teljes munkaidős - állandó,"625 000,00 Ft",3,3,Python,Python Developer,"Bash, Docker,",Star Wars
2016.09.09. 11:25:05,30-35,Férfi,Gimnázium,Nem,Budapest,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"300 000,00 Ft",4,4,Javascript,Senior Frontend dev,"html, css, sass, mongodb, angular, etc.",Star Trek
2016.09.09. 11:28:35,35-40,Férfi,Gimnázium,Nem,Budapest,Bejárós,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"200 000,00 Ft",3,3,"PHP, Javascript",Webfejlesztő grafikus,,He?
2016.09.09. 11:31:20,30-35,Férfi,Szakiskola,Igen,Külföld,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"300 000,00 Ft",2,5,"PHP, Javascript",rnd,"less, nodejs, etc",He?
2016.09.09. 11:31:40,25-30,Férfi,Egyetem,Igen,Budapest,Bejárós,Nemzetközi cég,5,"Órabérben, teljes munkaidős","450 000,00 Ft",2,2,"PHP, Javascript, C#, C++, C, SQL (tudom nem programozási nyelv)",Senior Developer,"Jquery, RegEX, PLSQL, MSSQL, Telekommunikációs dolgok",Star Wars
2016.09.09. 11:32:18,25-30,Férfi,Főiskola,Igen,Vidék,Távmunka,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"85 000,00 Ft",1,3,"PHP, Javascript, Jquery, html, css, ajax",Php fejlesztő,,Star Wars
2016.09.09. 11:34:34,25-30,Férfi,Egyetem,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,2,Teljes munkaidős - állandó,"250 000,00 Ft",3,3,"PHP, Javascript",Vezető fejlesztő,"Angular, React, Cordova, Node",Star Wars
2016.09.09. 11:35:15,30-35,Férfi,Egyetem,Igen,Külföld,Távmunka,Startup,8,Teljes munkaidős - állandó,"500 000,00 Ft",4,5,"PHP, Javascript",Full stack we developer,Angular less sass aws laravel sf2 mysql vagrant ...,Star Wars
2016.09.09. 11:39:02,25-30,Nő,Egyetem,Igen,Budapest,Távmunka,Kis- és középvállalkozás,2,Szabadúszó,"250 000,00 Ft",3,3,"PHP, Javascript",Webfejlesztő,"CodeIgniter, Nova, Bootstrap, JQuery",He?
2016.09.09. 11:37:36,30-35,Férfi,Gimnázium,Nem,Budapest,Bejárós,Kis- és középvállalkozás,1,Teljes munkaidős - állandó,"240 000,00 Ft",2,4,"Javascript, C#",junior fejlesztő,Asp.net,Star Trek
2016.09.09. 11:44:53,25-30,Férfi,Gimnázium,Nem,Budapest,Bejárós,Kis- és középvállalkozás,2,Teljes munkaidős - állandó,"280 000,00 Ft",1,1,"PHP, Javascript",Fejleszto,"Laravel, React, Less",He?
2016.09.09. 11:45:37,20-25,Férfi,Szakiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"200 000,00 Ft",4,4,"PHP, Javascript",Frontend fejlesztő,"Sass, less, react, angular, laravel, bootstrap, foundation, grunt, gulp, yeoman",Star Wars
2016.09.09. 11:46:53,20-25,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Bankszektor,3,Teljes munkaidős - állandó,"170 000,00 Ft",2,1,"PHP, Javascript, JQuery",PHP programozó / Webfejlesztő,,Star Trek
2016.09.09. 11:46:38,25-30,Nő,Egyetem,Igen,Vidék,Távmunka,Kis- és középvállalkozás,10,Szabadúszó,"250 000,00 Ft",4,4,"PHP, Javascript","Webdesigner, Sitebuilder","LES, SASS",Star Trek
2016.09.09. 11:51:07,25-30,Férfi,Szakközépiskola,Nem,Vidék,Távmunka,Kis- és középvállalkozás,10,Szabadúszó,"200 000,00 Ft",3,4,"PHP, Javascript",szabadúszó :),,Star Wars
2016.09.09. 11:52:13,25-30,Férfi,Egyetem,Igen,Budapest,Mindkettő,Startup,2,Szabadúszó,"200 000,00 Ft",2,4,"PHP, Javascript",Full stack developer,"less, sass, stylus, gulp, grunt, git, webpack,",Star Wars
2016.09.09. 11:51:40,25-30,Férfi,Gimnázium,Igen,Budapest,Bejárós,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"400 000,00 Ft",3,4,"Javascript, C#",Senior Frontend Fejlesztő,"Angular, SASS, LESS, Docker, ES6",Star Trek
2016.09.09. 11:55:40,30-35,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"500 000,00 Ft",4,4,"PHP, Javascript",Senior Tech PM,"Laravel, Symfony, Silex, PhantomJS, Angular, LESS, Bash, Mongodb, SQL, Canvas, NodeJS, Gulp, CSS3",Star Wars
2016.09.09. 11:59:15,30-35,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,7,Teljes munkaidős - állandó,"500 000,00 Ft",4,4,"PHP, Javascript, C#",senior software engineer,,Star Wars
2016.09.09. 11:59:38,35-40,Férfi,Szakiskola,Nem,Budapest,Mindkettő,Változó hogy milyen ügyfeleim vannak,11,Szabadúszó,"400 000,00 Ft",4,3,"PHP, Javascript","Senior PHP, Full stack","Laravel, Phalcon, Angular, Redis, Typescript, ThreeJs, MongoDB, MySQL, Git, Bash, nodejs, bower, gulp, Vagrant, SASS, Bootstrap",He?
2016.09.09. 12:01:28,40+,Férfi,Szakközépiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,9,Teljes munkaidős - állandó,"150 000,00 Ft",3,3,"PHP, Javascript",Vezető fejlesztő,,Star Wars
2016.09.09. 12:05:42,20-25,Férfi,Egyetem,Igen,Vidék,Bejárós,Kis- és középvállalkozás,6,Teljes munkaidős - állandó,"320 000,00 Ft",3,3,"PHP, Javascript, C#, C++, Java, Python",Marketing vezető,,Star Trek
2016.09.09. 12:06:24,15-20,Férfi,Szakközépiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"150 000,00 Ft",3,5,"Javascript, dot net",Frontend fejlesztő,LESS,He?
2016.09.09. 12:06:55,25-30,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,2,Teljes munkaidős - állandó,"250 000,00 Ft",3,1,"Javascript, C#",Junior,Spotfire,Star Wars
